Node	Stat	adj.P.Value	Feature
M62	-0.430810556	7.30E-10	TraitA
M65	-0.442808603	3.30E-10	TraitA
M17	0.403873019	6.05E-09	TraitA
M64	-0.41316829	2.92E-09	TraitA
M236	-0.422889068	1.34E-09	TraitA
M253	-0.452606165	1.45E-10	TraitA
M188	0.417324191	2.10E-09	TraitA
M252	-0.444863199	2.80E-10	TraitA
M6	-0.401081302	7.20E-09	TraitA
M242	-0.418481061	2.01E-09	TraitA
M388	-0.448032434	2.16E-10	TraitA
M379	-0.414781381	2.57E-09	TraitA
M88	-0.417675475	2.10E-09	TraitA
M259	-0.440493583	3.77E-10	TraitA
M461	-0.413636029	2.84E-09	TraitA
M385	-0.460084868	9.03E-11	TraitA
M67	-0.431781226	7.12E-10	TraitA
M355	0.404949266	5.60E-09	TraitA
M87	-0.399555872	8.17E-09	TraitA
M91	0.44194095	3.40E-10	TraitA
M443	0.425430599	1.11E-09	TraitA
M243	-0.430317863	7.41E-10	TraitA
M74	-0.429676721	7.67E-10	TraitA
M153	0.360135913	2.16E-07	TraitA
M356	0.411507209	3.34E-09	TraitA
M381	-0.430921252	7.30E-10	TraitA
M367	0.47913803	2.14E-11	TraitA
M489	-0.407758899	4.58E-09	TraitA
M481	0.417536625	2.10E-09	TraitA
M488	-0.418655744	2.01E-09	TraitA
M14	0.346190768	6.56E-07	TraitA
M77	0.458355962	9.03E-11	TraitA
M386	-0.411566716	3.34E-09	TraitA
M194	0.434641408	5.92E-10	TraitA
M268	0.49500468	4.79E-12	TraitA
M389	0.439245213	3.93E-10	TraitA
M331	0.356076631	2.98E-07	TraitA
M270	-0.416523085	2.23E-09	TraitA
M498	-0.404179513	5.96E-09	TraitA
M254	-0.423632588	1.28E-09	TraitA
M189	0.391635024	1.61E-08	TraitA
M429	0.393113745	1.45E-08	TraitA
M392	-0.457373774	9.03E-11	TraitA
M66	-0.387190545	2.27E-08	TraitA
M446	0.421182557	1.58E-09	TraitA
M365	0.408809552	4.27E-09	TraitA
M244	-0.39165294	1.61E-08	TraitA
M190	0.330553188	2.27E-06	TraitA
M497	-0.424751706	1.16E-09	TraitA
M193	0.401714126	6.96E-09	TraitA
M447	0.402609292	6.44E-09	TraitA
M165	0.43907565	3.93E-10	TraitA
M271	-0.382410778	3.36E-08	TraitA
M332	0.415253599	2.50E-09	TraitA
M358	0.3906394	1.74E-08	TraitA
M257	-0.382843325	3.29E-08	TraitA
